epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7991,3.12612,4.59786,5.70723,1.17921,0,0.00854,0.01682,0.00121,0.00018,0,0,0,0,4.53896,49.8198,4.16299,1.65352,0,6e-05,6e-05,0.09406
2,94.487,2.65782,3.66805,2.04037,1.11406,0,0.13157,0.03738,0.01579,0.00369,0.00037,0.00561,0,0,4.27061,41.9066,3.4001,1.4215,0,0.00011713,0.00011713,0.0871171
3,139.585,2.549,3.63824,1.82899,1.06138,0,0.18638,0.10093,0.05607,0.01358,0.0293,0.00748,0.00262,0.00027,3.6711,33.3389,2.92436,1.22605,0,0.0001604,0.0001604,0.0801604
4,185.248,2.60179,3.43442,1.80154,1.03008,0,0.25055,0.14206,0.09273,0.02392,0.02997,0.01308,0.00238,0.0003,3.52441,16.1774,3.00114,1.24455,0,0.00018981,0.00018981,0.0731898
5,230.013,2.65289,3.47806,1.79567,1.02207,0,0.29337,0.17383,0.11782,0.03354,0.05234,0.06916,0.01111,0.0018,3.30609,10.5246,4.53631,1.20626,0,0.00020536,0.00020536,0.0662054
6,275.84,2.60801,3.26825,1.75722,1.02409,0,0.33684,0.21121,0.15402,0.04566,0.15766,0.1028,0.04718,0.00856,3.07154,5.79974,2.58545,1.12309,0,0.00020705,0.00020705,0.0592071
7,325.821,2.57945,3.27367,1.71146,1.00737,0,0.27573,0.21869,0.13666,0.04058,0.14826,0.13832,0.05346,0.01149,3.01921,5.08508,2.44869,1.0995,0,0.00019488,0.00019488,0.0521949
8,383.159,2.52499,3.20692,1.65536,1.00697,0,0.27564,0.2243,0.1439,0.0424,0.16037,0.14953,0.06911,0.01314,2.89367,4.63037,2.90235,1.09335,0,0.00016885,0.00016885,0.0451689
9,433.29,2.57958,3.2596,1.67622,1.05666,0,0.27759,0.2729,0.16638,0.04839,0.14922,0.19252,0.08518,0.01798,2.7933,4.44928,2.76658,1.09282,0,0.00012896,0.00012896,0.038129
10,482.006,2.51447,3.17901,1.64428,1.00566,0,0.25867,0.28972,0.18425,0.05785,0.21407,0.17196,0.11146,0.0249,2.72502,4.30945,2.47991,1.08296,0,7.521e-05,7.521e-05,0.0310752
